销售平台,Order No,创建时间,promisedDeliveryTime,实际送达时间,orderQty,已交付数量,unit,订单状态,仓库编码,物流公司,目的区域,无关备注
第三方平台,01000037,2026-07-13T18:29:00+08:00,2026-07-16 18:29,2026-07-16T10:29:00+08:00,3,3,piece,已签收,WH-SYN-SOUTH-01,CAR-SYN-B,CN-SYN-NORTH,合成正常履约
直播渠道,01000038,2026-07-14T18:46:00+08:00,2026-07-17 18:46,2026-07-17T10:46:00+08:00,4,4,piece,returned,WH-SYN-WEST-01,CAR-SYN-C,CN-SYN-SOUTH,合成退回订单；用于退回率验证
门店小程序,01000039,2026/07/15 19:03,2026-07-18 19:03,,5,,piece,processing,WH-SYN-EAST-01,CAR-SYN-D,CN-SYN-WEST,尚未交付；对应指标应保持不可计算
自营商城,01000040,2026-07-16T19:20:00+08:00,2026.07.19 19:20,2026/07/18 19:20,1,1,piece,妥投,WH-SYN-SOUTH-01,CAR-SYN-A,CN-SYN-EAST,合成正常履约
第三方平台,01000041,2026-07-17T19:37:00+08:00,2026-07-20 19:37,2026-07-19T20:37:00+08:00,2,2,piece,已签收,WH-SYN-WEST-01,CAR-SYN-B,CN-SYN-NORTH,合成正常履约
直播渠道,01000042,2026/07/18 19:54,2026-07-21 19:54,2026-07-20T21:54:00+08:00,3,3,piece,妥投,WH-SYN-EAST-01,CAR-SYN-C,CN-SYN-SOUTH,合成正常履约
门店小程序,01000043,2026-07-19T20:11:00+08:00,2026-07-22 20:11,2026-07-21T23:11:00+08:00,4,4,piece,已签收,WH-SYN-SOUTH-01,CAR-SYN-D,CN-SYN-WEST,合成正常履约
自营商城,01000044,2026-07-20T20:28:00+08:00,2026.07.23 20:28,2026-07-24T12:28:00+08:00,5,5,piece,妥投,WH-SYN-WEST-01,CAR-SYN-A,CN-SYN-EAST,合成晚到
第三方平台,01000045,2026/07/21 20:45,2026-07-24 20:45,2026/07/24 01:45,1,0,piece,已签收,WH-SYN-EAST-01,CAR-SYN-B,CN-SYN-NORTH,合成正常履约
直播渠道,01000046,2026-07-22T21:02:00+08:00,2026-07-25 21:02,2026-07-25T03:02:00+08:00,2,2,piece,妥投,WH-SYN-SOUTH-01,,CN-SYN-SOUTH,合成正常履约
门店小程序,01000047,2026-07-23T21:19:00+08:00,2026-07-26 21:19,2026-07-26T04:19:00+08:00,3,3,piece,已签收,WH-SYN-WEST-01,CAR-SYN-D,CN-SYN-WEST,合成正常履约
自营商城,01000048,2026/07/24 21:36,2026.07.27 21:36,2026-07-27T05:36:00+08:00,4,4,piece,妥投,WH-SYN-EAST-01,CAR-SYN-A,CN-SYN-EAST,合成正常履约
第三方平台,01000049,2026-07-01T21:53:00+08:00,2026-07-04 21:53,2026-07-04T06:53:00+08:00,5,5,piece,已签收,WH-SYN-SOUTH-01,CAR-SYN-B,CN-SYN-NORTH,合成正常履约
直播渠道,01000050,2026-07-02T22:10:00+08:00,2026-07-05 22:10,2026/07/05 08:10,1,1,piece,妥投,WH-SYN-WEST-01,CAR-SYN-C,CN-SYN-SOUTH,合成正常履约
门店小程序,01000051,2026/07/03 22:27,2026-07-06 22:27,,2,0,piece,cancelled,WH-SYN-EAST-01,CAR-SYN-D,CN-SYN-WEST,合成取消订单；用于取消率验证
自营商城,01000052,2026-07-04T22:44:00+08:00,2026.07.07 22:44,,3,,piece,processing,WH-SYN-SOUTH-01,CAR-SYN-A,CN-SYN-EAST,尚未交付；对应指标应保持不可计算
第三方平台,01000053,2026-07-05T23:01:00+08:00,2026-07-08 23:01,2026-07-08T12:01:00+08:00,4,4,piece,已签收,WH-SYN-WEST-01,CAR-SYN-B,CN-SYN-NORTH,合成正常履约
直播渠道,01000054,2026/07/06 23:18,2026-07-09 23:18,2026-07-09T13:18:00+08:00,5,4,piece,妥投,WH-SYN-EAST-01,CAR-SYN-C,CN-SYN-SOUTH,合成正常履约
门店小程序,01000055,2026-07-07T23:35:00+08:00,2026-07-10 23:35,2026/07/11 15:35,1,1,piece,已签收,WH-SYN-SOUTH-01,CAR-SYN-D,CN-SYN-WEST,合成晚到
自营商城,01000056,2026-07-08T23:52:00+08:00,2026.07.11 23:52,2026-07-11T15:52:00+08:00,2,2,piece,妥投,WH-SYN-WEST-01,CAR-SYN-A,CN-SYN-EAST,合成正常履约
第三方平台,01000057,2026/07/10 00:09,2026-07-13 00:09,2026-07-12T15:09:00+08:00,3,3,piece,returned,WH-SYN-EAST-01,CAR-SYN-B,CN-SYN-NORTH,合成退回订单；用于退回率验证
直播渠道,01000058,2026-07-11T00:26:00+08:00,2026-07-14 00:26,2026-07-12T23:26:00+08:00,4,4,piece,妥投,WH-SYN-SOUTH-01,CAR-SYN-C,CN-SYN-SOUTH,合成正常履约
门店小程序,01000059,2026-07-12T00:43:00+08:00,2026-07-15 00:43,2026-07-14T00:43:00+08:00,5,5,piece,已签收,WH-SYN-WEST-01,CAR-SYN-D,CN-SYN-WEST,合成正常履约
自营商城,01000060,2026/07/13 01:00,2026.07.16 01:00,2026/07/15 02:00,1,1,piece,妥投,WH-SYN-EAST-01,CAR-SYN-A,CN-SYN-EAST,合成正常履约
第三方平台,01000061,2026-07-14T01:17:00+08:00,2026-07-17 01:17,2026-07-16T03:17:00+08:00,2,2,piece,已签收,WH-SYN-SOUTH-01,CAR-SYN-B,CN-SYN-NORTH,合成正常履约
直播渠道,01000062,2026-07-15T01:34:00+08:00,2026-07-18 01:34,2026-07-17T04:34:00+08:00,3,3,piece,妥投,WH-SYN-WEST-01,CAR-SYN-C,CN-SYN-SOUTH,合成正常履约
门店小程序,01000063,2026/07/16 01:51,2026-07-19 01:51,2026-07-18T05:51:00+08:00,4,3,piece,已签收,WH-SYN-EAST-01,CAR-SYN-D,CN-SYN-WEST,合成正常履约
自营商城,01000064,2026-07-17T02:08:00+08:00,2026.07.20 02:08,2026-07-19T07:08:00+08:00,5,5,piece,妥投,WH-SYN-SOUTH-01,CAR-SYN-A,CN-SYN-EAST,合成正常履约
第三方平台,01000065,2026-07-18T02:25:00+08:00,2026-07-21 02:25,,1,,piece,processing,WH-SYN-WEST-01,CAR-SYN-B,CN-SYN-NORTH,尚未交付；对应指标应保持不可计算
直播渠道,01000066,2026/07/19 02:42,2026-07-22 02:42,2026-07-22T18:42:00+08:00,2,2,piece,妥投,WH-SYN-EAST-01,CAR-SYN-C,CN-SYN-SOUTH,合成晚到
门店小程序,01000067,2026-07-20T02:59:00+08:00,2026-07-23 02:59,2026-07-22T10:59:00+08:00,3,3,piece,已签收,WH-SYN-SOUTH-01,CAR-SYN-D,CN-SYN-WEST,合成正常履约
自营商城,01000068,2026-07-21T03:16:00+08:00,2026.07.24 03:16,,4,0,piece,cancelled,WH-SYN-WEST-01,CAR-SYN-A,CN-SYN-EAST,合成取消订单；用于取消率验证
第三方平台,01000069,2026/07/22 03:33,2026-07-25 03:33,2026-07-24T13:33:00+08:00,5,5,piece,已签收,WH-SYN-EAST-01,,CN-SYN-NORTH,合成正常履约
直播渠道,01000070,2026-07-23T03:50:00+08:00,2026-07-26 03:50,2026/07/25 14:50,1,1,piece,妥投,WH-SYN-SOUTH-01,CAR-SYN-C,CN-SYN-SOUTH,合成正常履约
门店小程序,01000071,2026-07-24T04:07:00+08:00,2026-07-27 04:07,2026-07-26T16:07:00+08:00,2,2,piece,已签收,WH-SYN-WEST-01,CAR-SYN-D,CN-SYN-WEST,合成正常履约
自营商城,01000072,2026/07/25 04:24,2026.07.28 04:24,2026-07-27T17:24:00+08:00,3,2,piece,妥投,WH-SYN-EAST-01,CAR-SYN-A,CN-SYN-EAST,合成正常履约
第三方平台,01000073,2026-07-02T04:41:00+08:00,2026-07-05 04:41,2026-07-04T18:41:00+08:00,4,4,piece,已签收,WH-SYN-SOUTH-01,CAR-SYN-B,CN-SYN-NORTH,合成正常履约
直播渠道,01000074,2026-07-03T04:58:00+08:00,2026-07-06 04:58,2026-07-05T19:58:00+08:00,5,5,piece,妥投,WH-SYN-WEST-01,CAR-SYN-C,CN-SYN-SOUTH,合成正常履约
门店小程序,01000075,2026/07/04 05:15,2026-07-07 05:15,2026/07/06 21:15,1,1,piece,已签收,WH-SYN-EAST-01,CAR-SYN-D,CN-SYN-WEST,合成正常履约
自营商城,01000076,2026-07-05T05:32:00+08:00,2026.07.08 05:32,2026-07-07T19:32:00+08:00,2,2,piece,returned,WH-SYN-SOUTH-01,CAR-SYN-A,CN-SYN-EAST,合成退回订单；用于退回率验证
第三方平台,01000077,2026-07-06T05:49:00+08:00,2026-07-09 05:49,2026-07-09T21:49:00+08:00,3,3,piece,已签收,WH-SYN-WEST-01,CAR-SYN-B,CN-SYN-NORTH,合成晚到
直播渠道,01000078,2026/07/07 06:06,2026-07-10 06:06,,4,,piece,processing,WH-SYN-EAST-01,CAR-SYN-C,CN-SYN-SOUTH,尚未交付；对应指标应保持不可计算
门店小程序,01000079,2026-07-08T06:23:00+08:00,2026-07-11 06:23,2026-07-10T07:23:00+08:00,5,5,piece,已签收,WH-SYN-SOUTH-01,CAR-SYN-D,CN-SYN-WEST,合成正常履约
自营商城,01000080,2026-07-09T06:40:00+08:00,2026.07.12 06:40,2026/07/11 08:40,1,1,piece,妥投,WH-SYN-WEST-01,CAR-SYN-A,CN-SYN-EAST,合成正常履约
